provider_parent_name,provider_org_name,total_waiting,over_18_weeks,over_52_weeks,over_104_weeks,breach_rate_pct
NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,PIONEER HEALTHCARE LIMITED,715.0,633.0,207.0,2.0,88.5
NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,SPIRE SOUTHAMPTON HOSPITAL,352.0,268.0,11.0,0.0,76.1
NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,"NUFFIELD HEALTH, WESSEX HOSPITAL",610.0,438.0,3.0,0.0,71.8
NHS BLACK COUNTRY INTEGRATED CARE BOARD,MODALITY LLP,264.0,168.0,0.0,0.0,63.6
NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,196.0,123.0,8.0,0.0,62.8
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,"NUFFIELD HEALTH, NEWCASTLE UPON TYNE HOSPITAL",518.0,297.0,26.0,1.0,57.3
NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,SPIRE PORTSMOUTH HOSPITAL,460.0,258.0,0.0,0.0,56.1
NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,FITZWILLIAM HOSPITAL,6880.0,3835.0,165.0,0.0,55.7
NHS SUSSEX INTEGRATED CARE BOARD,"NUFFIELD HEALTH, BRIGHTON HOSPITAL",827.0,446.0,90.0,2.0,53.9
"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",SPIRE THAMES VALLEY HOSPITAL,493.0,264.0,9.0,0.0,53.5
NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,THE HAMPTONS HOSPITAL LTD,914.0,487.0,41.0,0.0,53.3
"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",MANOR HOSPITAL,660.0,343.0,5.0,0.0,52.0
NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,HAMPSHIRE CLINIC,319.0,165.0,3.0,0.0,51.7
NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,ST EDMUNDS HOSPITAL,545.0,280.0,1.0,0.0,51.4
NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,"NUFFIELD HEALTH, NORTH STAFFORDSHIRE HOSPITAL",1328.0,682.0,10.0,0.0,51.4
NHS DEVON INTEGRATED CARE BOARD,"NUFFIELD HEALTH, EXETER HOSPITAL",416.0,208.0,46.0,14.0,50.0
NHS FRIMLEY INTEGRATED CARE BOARD,SPIRE CLARE PARK HOSPITAL,454.0,227.0,3.0,0.0,50.0
NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,RENACRES HOSPITAL,5292.0,2635.0,41.0,0.0,49.8
NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,173977.0,85909.0,12120.0,30.0,49.4
NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,"NUFFIELD HEALTH, CAMBRIDGE HOSPITAL",207.0,100.0,0.0,0.0,48.3
NHS SUSSEX INTEGRATED CARE BOARD,SPIRE MONTEFIORE HOSPITAL,610.0,288.0,10.0,0.0,47.2
"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,23933.0,11059.0,2473.0,341.0,46.2
NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,THE WESTBOURNE CENTRE,3666.0,1674.0,23.0,0.0,45.7
NHS SUSSEX INTEGRATED CARE BOARD,THE HORDER CENTRE - ST JOHNS ROAD,1247.0,570.0,6.0,0.0,45.7
NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,"NUFFIELD HEALTH, DERBY HOSPITAL",1162.0,531.0,24.0,0.0,45.7
NHS SUSSEX INTEGRATED CARE BOARD,"NUFFIELD HEALTH, HAYWARDS HEATH HOSPITAL",432.0,197.0,5.0,1.0,45.6
